model,param1_name,param2_name,param1,param2,replicate,seed,n_trials,sigma,prior_scale,theta_map_1,theta_map_2,objective_map,gradient_norm,original_pd,fd_pd,ad_pd,original_min_eig,fd_min_eig,ad_min_eig,original_log10_condition,fd_log10_condition,ad_log10_condition,original_ad_rel_error,fd_ad_rel_error,delta_loge_original_ad,delta_loge_fd_ad,original_numerical_failure,fd_numerical_failure,structural_laplace_failure
binary,alpha,beta,0.05,0.25,0,123,100,0.1,1.0,0.41531948223555315,0.6214687099169747,68.15412691606011,1.4387393840789702e-07,True,True,True,6.435646142098439,6.435762103584083,6.435760423667328,0.5349761870420335,0.534974444353125,0.5349745355691635,2.235561994618965e-05,9.062682214245348e-08,1.585610444010399e-05,-1.560121063448605e-07,False,False,False
binary,alpha,beta,0.05,0.25,1,124,100,0.1,1.0,0.5279339879558659,0.43399394971819255,68.94555059063545,7.105427357601002e-08,True,True,True,9.0871628446585,9.086784105091507,9.086783361811781,0.22350981194250272,0.22353122208509305,0.2235312364283249,4.888207599161895e-05,8.634471827268962e-08,-1.7095343167738974e-05,-6.528462392907386e-08,False,False,False
binary,alpha,beta,0.05,0.25,2,125,100,0.1,1.0,0.48610921342568975,0.1,69.88264220462747,1.2238258975117333,True,True,True,9.92029786361104,9.920241349348487,9.920239755416414,0.22660291308613484,0.22661379661718598,0.22661381566656258,1.7051149147599222e-05,1.3061838627800146e-07,6.694537404428047e-06,-1.387433314903319e-07,False,False,False
binary,alpha,beta,0.05,0.25,3,126,100,0.1,1.0,0.5942185057679366,0.6055857763103376,68.38239570400496,1.2224639458285406e-07,True,True,True,7.948241126187958,7.948530681220419,7.948528044614818,0.31666196147065007,0.3166602311138613,0.31666029511495347,4.475661401457138e-05,2.216253211042658e-07,3.417924020254759e-05,-2.5802589220802474e-07,False,False,False
binary,alpha,beta,0.05,0.25,4,127,100,0.1,1.0,0.4832483361233835,0.1,70.16815727719339,3.9062724326299834,True,True,True,6.663963889626269,6.663877958318033,6.663876637456987,0.36981618697204327,0.369821331448289,0.36982140269789543,1.3209599489764185e-05,8.445571631563484e-08,-7.088392976584146e-06,-1.1618294593063183e-07,False,False,False
binary,alpha,beta,0.05,0.25,5,128,100,0.1,1.0,0.47207184632339244,0.1,69.80999768369736,0.2569586712297679,True,True,True,5.082075939444934,5.082131567311628,5.082129963895591,0.5421077913253699,0.5420979786755032,0.5420980728869172,1.2431897294100023e-05,1.4645979906612306e-07,-5.584319779927682e-07,-2.0703583913928014e-07,False,False,False
binary,alpha,beta,0.05,0.25,6,129,100,0.1,1.0,0.3425333368379805,0.617724885622275,68.76471040620049,5.1237965343830033e-08,True,True,True,4.315467888490305,4.3156134216995605,4.3156070780549305,0.7959356391325147,0.7959265436303344,0.7959270550493941,1.74070897459758e-05,3.7604247179998364e-07,2.2370332857235553e-05,-8.811369696104521e-07,False,False,False
binary,alpha,beta,0.05,0.25,7,130,100,0.1,1.0,0.4237755772099935,0.4836733718098868,68.81504039394174,1.0173423748423966e-07,True,True,True,6.81278877471837,6.812827252298021,6.8128235791333465,0.4749296311790868,0.4749290880533947,0.47492921067766536,8.114916116528347e-06,2.987712448426462e-07,4.624555188570412e-06,-3.97977984789577e-07,False,False,False
binary,alpha,beta,0.05,0.25,8,131,100,0.1,1.0,0.4798861982199676,0.1,69.87581023406453,1.036684807331769,True,True,True,7.5273459858927,7.5272689242973305,7.527266786617849,0.3900887163751469,0.390099949114797,0.39010003549132777,2.7347834593937726e-05,1.3548113465574972e-07,2.510018347834375e-06,-1.8454676364854095e-07,False,False,False
binary,alpha,beta,0.05,0.25,9,132,100,0.1,1.0,0.5243327578476559,0.1,69.90607056729434,1.3757638726020005,True,True,True,8.764055971669434,8.764786304173551,8.76478560686316,0.3210546557226033,0.3210236804212535,0.32102369597291025,3.766084629333192e-05,5.51511982901551e-08,4.760594728736578e-05,-6.165366528421146e-08,False,False,False
