param1,-0.7,-0.3,-0.1,0.3,0.7
0.05,3.046075537266241e-08,2.5117330457722998e-08,1.4882129549895222e-08,3.3721813825961847e-09,3.397294886719527e-09
0.25,1.6907483989366066e-08,1.4989745963412262e-08,1.3417980849899563e-08,5.112392137465525e-09,3.773133077408555e-09
0.5,1.2640090981734903e-08,1.3158005757920458e-08,1.3867292734369488e-08,7.049669284969449e-09,2.3541110533627743e-09
0.75,1.679845609400439e-08,1.4000979787589752e-08,1.5343540809046955e-08,5.933808086998913e-09,2.848183583322642e-09
0.95,3.8218839230681235e-08,1.697834135884036e-08,1.602374764683201e-08,3.853067956632365e-09,3.1801841170233176e-09
