param1,0.25,0.5,1.0,3.0,8.0
0.05,1.4097046686093638e-07,2.8796748839015094e-07,1.702872614722234e-07,2.9565350988857157e-06,9.523240375961526e-07
0.25,2.0484429054584092e-07,2.1492354734342826e-07,9.574499216740521e-08,4.938611002715005e-08,3.587171441796968e-08
0.5,1.4508289957352136e-07,1.8992939388257151e-07,9.917314417274483e-08,3.1113288479465205e-08,1.8336592741093593e-08
0.75,1.7699399449336388e-07,9.644934069093844e-08,6.006142092620743e-08,1.9237868632705846e-08,1.8433025121450345e-08
0.95,2.1025706451523293e-07,1.0982529802257385e-07,7.422002677135844e-08,2.6191313739829195e-08,1.1315581020399725e-08
