param1,-0.7,-0.3,-0.1,0.3,0.7
0.05,2.104941065441963e-05,2.0350656323446254e-05,1.7457703853523597e-05,1.3450376765227668e-05,1.264436620626053e-05
0.25,2.599133635306463e-05,1.5759329669033032e-05,1.0580476658692612e-05,6.4944887489631405e-06,1.0495398639206852e-06
0.5,5.82466152663489e-06,3.829386188350711e-06,3.55403874182211e-06,2.7455913677824646e-06,1.0645121076122582e-06
0.75,2.2275153540772093e-05,1.2861417861497702e-05,1.2508754769496434e-05,3.5668072642462142e-06,1.1443002347110935e-06
0.95,2.4922242417355886e-05,1.8230970943695375e-05,2.298826917203754e-05,1.260075659421574e-05,1.0491016589048279e-05
