model,param1_name,param2_name,param1,param2,replicate,seed,n_trials,sigma,prior_scale,theta_map_1,theta_map_2,objective_map,gradient_norm,original_pd,fd_pd,ad_pd,original_min_eig,fd_min_eig,ad_min_eig,original_log10_condition,fd_log10_condition,ad_log10_condition,original_ad_rel_error,fd_ad_rel_error,delta_loge_original_ad,delta_loge_fd_ad,original_numerical_failure,fd_numerical_failure,structural_laplace_failure
binary,alpha,beta,0.05,0.25,0,123,50,0.1,0.1,0.3065020855228292,1.0867887848838975,32.56871436421447,2.4139253482531512e-08,True,True,True,2.4646314292434797,2.464605196162601,2.4646061840653015,0.7502276874346846,0.7502628348504671,0.750262656627543,8.564469861312871e-05,8.183229445561828e-08,3.001673549363204e-05,1.9564927811188682e-07,False,False,False
binary,alpha,beta,0.05,0.25,1,124,50,0.1,0.1,0.98,0.5947600924114981,33.595631585213,1.9511535818139691,False,False,False,-0.9953676358825952,-0.9954044089040426,-0.9954042687271556,inf,inf,inf,1.4128082220012604e-05,2.3565426346627974e-08,nan,nan,False,False,True
binary,alpha,beta,0.05,0.25,2,125,50,0.1,0.1,0.3954785139498093,0.1,34.84074205913703,1.530735172394773,True,True,True,0.9490679856611977,0.9490719198233024,0.9490700484172324,0.8340688755923593,0.8340705753850507,0.8340713677096501,1.1278980148320978e-05,3.240310029530707e-07,5.042608144378846e-06,-1.05963199814596e-06,False,False,False
binary,alpha,beta,0.05,0.25,3,126,50,0.1,0.1,0.636494888677,1.2638680876030401,32.679351464269956,3.170700903132545e-08,True,True,True,1.536145423400804,1.5361404042010744,1.5361400227159487,0.912233836398831,0.9122334971782073,0.9122336136091401,1.5375577264847222e-05,4.009063050938847e-08,-3.7722402979056824e-06,-1.1429397517304096e-07,False,False,False
binary,alpha,beta,0.05,0.25,4,127,50,0.1,0.1,0.02,1.894514654447808,34.70029698154482,0.12508893831864923,True,True,True,0.027182780968529514,0.02739727100140995,0.027396164090674923,4.412612712879781,4.409279262002905,4.409296674547662,0.00018400486048882669,3.143315426852482e-07,0.00400155647527356,-2.0356109203589767e-05,False,False,False
binary,alpha,beta,0.05,0.25,5,128,50,0.1,0.1,0.2706073522876496,0.1,34.82774271901117,0.9262636169182776,False,False,False,-2.1126869786003195,-2.112768533686632,-2.1127691240972437,inf,inf,inf,1.9637607005940597e-05,1.7384213690657046e-07,nan,nan,False,False,True
binary,alpha,beta,0.05,0.25,6,129,50,0.1,0.1,0.34761133252009496,0.14622574403667674,34.682741961764776,1.17723015519153e-07,True,True,True,1.0420826757280675,1.0421134579866704,1.0421109909818833,0.7266502973550973,0.7266364507244424,0.7266373274957708,5.842165861832723e-06,5.549709673204761e-07,1.2239320582807522e-05,-1.3578917190670836e-06,False,False,False
binary,alpha,beta,0.05,0.25,7,130,50,0.1,0.1,0.02,2.8332760597921056,33.718345595215084,5.317247822489435,True,True,True,0.03948912062617008,0.03983877618808434,0.03983376646850015,4.9973572379426665,4.993817031404259,4.993870285472133,0.0006606097150682733,3.1384059601640346e-06,0.004675247156747275,-6.444673206118523e-05,False,False,False
binary,alpha,beta,0.05,0.25,8,131,50,0.1,0.1,0.30217944711625194,0.3699061103146785,34.45365611134739,7.140866117879974e-08,True,True,True,3.5575658921346944,3.5576522070886707,3.55765188703385,0.6286266024209661,0.6286283762255837,0.6286284250808398,3.989851874162818e-05,3.2435375770712476e-08,2.6270520720572677e-05,-3.371567913745821e-08,False,False,False
binary,alpha,beta,0.05,0.25,9,132,50,0.1,0.1,0.603239550793481,0.1,34.889972887049694,1.973978925207147,True,True,True,1.3541224643871652,1.354116516751875,1.354116210467191,0.5952680305524936,0.5952798550707745,0.5952798263177427,4.1653226917727687e-05,3.105453094308237e-07,8.961935826334866e-06,-2.592910135490456e-07,False,False,False
