param1,0.25,0.5,1.0,3.0,8.0
0.05,3.912864408025519e-05,3.071389806485696e-05,6.007877965497707e-05,6.0927147832188685e-05,0.0002474154384266
0.25,2.9746962190497216e-05,5.0536323413480694e-05,4.484306117132703e-05,4.093687898217851e-05,4.432930824314827e-05
0.5,3.222714469861434e-05,2.8992469417957138e-05,2.4202070730032213e-05,1.2061661545698996e-05,2.818351156485986e-05
0.75,3.612170818473277e-05,3.0684854028523376e-05,2.334037565294557e-05,1.1723774648932944e-05,2.0772970093873352e-05
0.95,2.7303166085256312e-05,2.2450355360181013e-05,2.304274799547577e-05,1.1339979268842654e-05,3.4977937478668006e-05
