model,seed,n_trials,optimization_method,objective_map,gradient_norm_map_fd,optimization_seconds,n_polish_steps,ad_polish_objective,ad_polish_seconds,ad_polish_gradient_norm,ad_polish_n_steps,gn_minus_ad_polish_objective,theta_true,theta_map,numpy_jax_objective_abs_error_map,numpy_jax_objective_abs_error_probe,ad_gradient_norm_probe,grad_h001_rel_error,grad_h0001_rel_error,grad_h00001_rel_error,grad_h000001_rel_error,grad_h0000001_rel_error,gn_ad_rel_fro_error,fd_ad_rel_fro_error,original_ad_rel_fro_error,original_fd_rel_fro_error,gn_logdet,original_logdet,fd_logdet,ad_logdet,gn_min_eig,original_min_eig,fd_min_eig,ad_min_eig,original_is_pd,fd_h001_rel_error,fd_h0001_rel_error,fd_h00001_rel_error,fd_h000001_rel_error,fd_h001_seconds,fd_h0001_seconds,fd_h00001_seconds,fd_h000001_seconds,ad_hessian_seconds,laplace_logevidence_gn,laplace_logevidence_original,laplace_logevidence_fd,laplace_logevidence_ad,laplace_gn_minus_ad,laplace_original_minus_ad,laplace_original_minus_fd,laplace_fd_minus_ad
ces,133,250,lbfgsb+gn,-221.92827213726392,4.632825819493284e-06,0.010003999999753432,1,-221.92827213726395,0.06006025000169757,5.1237965343830033e-08,1,2.842170943040401e-14,[0.6 0.3],[0.592073 0.284145],2.842170943040401e-14,2.842170943040401e-14,1226.701494627973,1.3682785170422807e-06,1.3682926124868883e-08,1.517461733692244e-10,1.852662940595906e-10,6.058923928786807e-09,0.16670256385660873,3.737113837368917e-09,3.5638866782585234e-06,3.5615189012012093e-06,12.993082384611153,13.467889108626874,13.467910446187465,13.46791025687098,60.41673181329336,81.0006491188728,81.00266364090837,81.00264852530056,True,2.468501616364671e-07,3.737113837368917e-09,1.2572599546145895e-07,7.465900303498615e-06,0.00016675000006216578,0.0001598330018168781,0.00015541700122412294,0.00015499999790336005,0.024650374998600455,217.26960801136767,217.0322046493598,217.0321939805795,217.03219407523775,0.23741393612991146,1.0574122057960267e-05,1.0668780305422843e-05,-9.465824746257567e-08
ces,134,250,lbfgsb+gn,-224.94209768313524,2.5337969897586827e-05,0.009675582998170285,1,-224.9420976831355,0.0632599169985042,3.820292736844347e-05,1,2.5579538487363607e-13,[0.6 0.3],[0.605568 0.103524],2.842170943040401e-14,0.0,1296.1193635263498,1.4552846547884743e-06,1.4552388591923693e-08,1.4406902109250265e-10,1.1643428455243104e-10,6.486314553983147e-10,0.03363477880214734,3.709409573502267e-09,1.2440033596553707e-06,1.2438860114037633e-06,13.646264010236807,13.70696085728867,13.706943264692754,13.706943165033866,93.56898596373229,96.50427468919638,96.50261417051983,96.50260487958273,True,3.5245852401494946e-07,3.709409573502267e-09,3.4128472162271853e-07,1.6030832335256023e-05,0.0001784999985829927,0.00016775000040070154,0.00016637499720673077,0.00016495799718541093,0.02578837500186637,219.95684274442618,219.92649432090025,219.9265031171982,219.92650316702765,0.030339577398535766,-8.846127400374826e-06,-8.796297947810672e-06,-4.982945256415405e-08
ces,135,250,lbfgsb+gn,-221.6735096044744,4.5376262711120655e-06,0.008371625001018401,1,-221.67350960447436,0.05775974999778555,4.019436694230464e-08,1,-2.842170943040401e-14,[0.6 0.3],[0.596756 0.459579],2.842170943040401e-14,1.4210854715202004e-14,1357.855505800588,1.5532369936649733e-07,1.553606436076436e-09,8.147362721980502e-12,5.879253199710836e-11,9.151322935948111e-10,0.09499317153586999,3.1735623576083273e-09,2.3535339310815552e-06,2.3564473713367197e-06,13.477248552710215,13.725587616851396,13.725604160457689,13.72560404674575,81.10008385757692,94.08802191573548,94.08936226643011,94.08935184745768,True,6.10525463211454e-08,3.1735623576083273e-09,2.5006225801037286e-07,2.7455454318183684e-05,0.00017420799849787727,0.00016570799925830215,0.0001645419979467988,0.00016220800171140581,0.025892667003063252,216.77276239452863,216.64859286245803,216.64858459065488,216.64858464751086,0.12417774701776807,8.214947172291431e-06,8.271803153547808e-06,-5.6855981256376253e-08
ces,136,250,lbfgsb+gn,-242.13179680596497,1.9712714548317356e-05,0.007863625000027241,1,-242.1317968059649,0.06124820799959707,1.034565839472708e-07,1,-5.684341886080802e-14,[0.6 0.3],[0.603615 0.213733],2.842170943040401e-14,2.842170943040401e-14,1282.5427848024835,1.2272797546940752e-06,1.2274280703972497e-08,1.3061101854412226e-10,1.8908951616191003e-10,3.537286254766386e-09,0.21259941724597559,4.822176019403e-09,1.573823977758108e-06,1.5710024685873868e-06,13.149538387584101,13.610685749145114,13.610714501792447,13.610714335226534,71.32129867210473,89.08255901386177,89.08524187923375,89.085227426662,True,2.5278215843283967e-07,4.822176019403e-09,3.751807998867094e-07,4.507480069446309e-05,0.00016245799997705035,0.00015758299923618324,0.00016037500245147385,0.00015825000082259066,0.02698266699735541,237.39490467858224,237.16433099780176,237.16431662147806,237.16431670476103,0.23058797382120133,1.4293040720758654e-05,1.437632369061248e-05,-8.328296985382622e-08
ces,137,250,lbfgsb+gn,-199.81978971273753,1.196926058033193e-05,0.010303792001650436,1,-199.8197897127376,0.05874816700088559,1.1597354812133683e-05,1,5.684341886080802e-14,[0.6 0.3],[0.586441 0.23435 ],0.0,1.4210854715202004e-14,1278.3680993734267,1.0581498644941354e-06,1.0569700036950158e-08,1.2318234012373075e-10,2.5759268621947015e-09,1.7929131709767258e-08,0.22922364293187475,3.457178745076289e-09,8.82424056498948e-07,8.835887580207231e-07,14.166788199425957,13.772467499155571,13.772475755069452,13.77247551137449,125.73488403592332,104.05124009509049,104.05208345155776,104.05205830762262,True,2.377153269232955e-07,3.457178745076289e-09,3.9478530884055286e-07,3.2474310444141085e-05,0.00016566699923714623,0.0001597500013303943,0.00015729100050521083,0.00015608300236635841,0.02604304199849139,194.57427267943388,194.77143302956907,194.77142890161213,194.77142902345963,-0.19715634402575688,4.006109435295002e-06,4.127956941601951e-06,-1.2184750630694907e-07
ces,138,250,lbfgsb+gn,-220.54895550527198,7.919922377989664e-07,0.00873854200108326,1,-220.54895550527203,0.05912904200158664,5.859285502108464e-08,1,5.684341886080802e-14,[0.6 0.3],[0.602467 0.28296 ],2.842170943040401e-14,2.842170943040401e-14,1173.3161483660424,1.238268190675831e-06,1.2382151258517824e-08,6.341629596887006e-11,6.246046098344596e-10,4.496461788427748e-09,0.055308219050045175,3.0731340032127316e-09,2.9577974972063554e-06,2.955960426121984e-06,13.234276884470589,13.362076966341625,13.362064354938383,13.362064263870373,71.0402382459136,76.26208068540053,76.26133536626133,76.26132860379148,True,2.3801290993561064e-07,3.0731340032127316e-09,1.2304467287515942e-07,3.991120490872717e-06,0.00017179199858219363,0.00016041599883465096,0.0001584999990882352,0.00015791599798831157,0.02544020799905411,215.769694129446,215.7057940885105,215.70580039421213,215.70580043974613,0.0638936896998814,-6.3512356405226456e-06,-6.305701646169837e-06,-4.5533994352808804e-08
ces,139,250,lbfgsb+gn,-233.85987932583006,1.05977633641415e-05,0.007977875000506174,1,-233.85987932583006,0.05615220799882081,2.8421709430404007e-08,1,0.0,[0.6 0.3],[0.592731 0.433365],0.0,0.0,1284.9550540511905,4.69946120561533e-07,4.700022626358293e-09,3.9563275551604765e-11,6.581930190906006e-11,3.027572656236422e-10,0.15028186651899117,6.232155894872739e-10,8.342000935396132e-07,8.341216015559043e-07,13.287358758727276,13.628790424471042,13.628785731299931,13.628785790730767,75.50971506541083,90.40926057594037,90.408795230116,90.40880058335695,True,8.522714114845855e-08,6.232155894872739e-10,6.249570769977741e-08,2.396127547557084e-06,0.0002140830001735594,0.0001637919995118864,0.0001593750021129381,0.000158124999870779,0.02492270799848484,229.05407701287575,228.88336118000387,228.88336352658942,228.883363496874,0.17071351600174012,-2.3168701375197998e-06,-2.346585546320057e-06,2.9715408800257137e-08
ces,140,250,lbfgsb+gn,-226.07490208801596,9.486307020824554e-06,0.007838749999791617,1,-226.074902088016,0.056458292001480004,5.859285502108464e-08,1,2.842170943040401e-14,[0.6 0.3],[0.59754  0.254344],0.0,2.842170943040401e-14,1301.0029058931561,1.4834125469445998e-06,1.4834103893129018e-08,1.350868908799664e-10,2.3414978305258026e-09,5.904779203629454e-09,0.05678507952018416,2.3541836778580643e-09,3.432035613346441e-06,3.4310670940375256e-06,13.456138709408823,13.687837044525548,13.687840073310658,13.68784002590829,78.26262412917865,94.96538294779269,94.96599177879006,94.96598740185084,True,2.7509590378617075e-07,2.3541836778580643e-09,6.370847642108467e-08,3.0271221670974774e-05,0.00016945800234680064,0.00016020899784052745,0.000158124999870779,0.00015766599972266704,0.02524529200309189,221.18470979972088,221.0688606321625,221.06885911776996,221.06885914147114,0.11585065824974095,1.490691374783637e-06,1.5143925509164546e-06,-2.3701176132817636e-08
ces,141,250,lbfgsb+gn,-220.94423297402085,2.241603664105089e-05,0.008475458002067171,1,-220.94423297402082,0.059058791001007194,9.532931148469528e-08,1,-2.842170943040401e-14,[0.6 0.3],[0.595149 0.20759 ],0.0,0.0,1132.6518015589475,7.325190253284669e-07,7.323310092996807e-09,5.126224483089038e-11,2.908360159074022e-10,3.811083979585334e-09,0.20002161315530206,5.851119764405295e-09,2.4530915219734195e-06,2.4584366372021337e-06,12.792500139484062,13.407590739132438,13.407573956289536,13.407573835409728,54.843418391225846,81.41831860268182,81.41676218661271,81.41675281211143,True,2.1822624982703012e-07,5.851119764405295e-09,4.995683240410424e-07,5.886887110470638e-05,0.00016433400014648214,0.00015866700050537474,0.00015749999874969944,0.0001589579987921752,0.025300833000073908,216.38585997068816,216.07831467086396,216.07832306228542,216.07832312272532,0.30753684796283665,-8.451861361891133e-06,-8.391421459919002e-06,-6.043990197213134e-08
ces,142,250,lbfgsb+gn,-222.85508023412217,3.829825609399152e-05,0.008215750000090338,1,-222.85508023412208,0.0576230000006035,7.652779469160726e-08,1,-8.526512829121202e-14,[0.6 0.3],[0.613882 0.296261],2.842170943040401e-14,2.842170943040401e-14,1261.4237347934238,1.2290175636494937e-06,1.2290629856425533e-08,1.255920374452531e-10,2.618549809412373e-10,1.0568791268151607e-09,0.07592661502335829,5.249936004471138e-09,2.487585539899875e-06,2.485210367151587e-06,13.597977737174173,13.570447781096163,13.57048012706538,13.570479750929161,83.9731633338154,87.22933035606638,87.23235876292661,87.23232625242656,True,2.386324927593555e-07,5.249936004471138e-09,4.740129435330746e-07,4.427904425193832e-05,0.0001654579973546788,0.0001593750021129381,0.0001572500004840549,0.0001572500004840549,0.025099916001636302,217.89396843194442,217.90773340998342,217.90771723699882,217.90771742506692,-0.013748993122504771,1.598491650156575e-05,1.617298460132588e-05,-1.8806809976013028e-07
