model,param1_name,param2_name,param1,param2,replicate,seed,n_trials,sigma,prior_scale,theta_map_1,theta_map_2,objective_map,gradient_norm,original_pd,fd_pd,ad_pd,original_min_eig,fd_min_eig,ad_min_eig,original_log10_condition,fd_log10_condition,ad_log10_condition,original_ad_rel_error,fd_ad_rel_error,delta_loge_original_ad,delta_loge_fd_ad,original_numerical_failure,fd_numerical_failure,structural_laplace_failure
binary,alpha,beta,0.05,0.25,0,123,50,0.1,1.0,0.4451263463937679,1.0358709409189284,32.759745421754765,5.193368239607928e-08,True,True,True,3.6262353799778446,3.6263061215084105,3.6263053084345853,0.6853447611933364,0.6853438346526814,0.6853438879984961,1.8493519875964415e-05,1.0997078831582211e-07,1.827854821812025e-05,-1.6279882686376368e-07,False,False,False
binary,alpha,beta,0.05,0.25,1,124,50,0.1,1.0,0.6008041739646458,0.48484410651149246,34.55345946386272,1.352833064392184e-07,True,True,True,5.102839566832204,5.102795456786964,5.102795062198722,0.45799516075026964,0.45800386688673156,0.458003900690487,1.3746382293664143e-05,3.81546134929831e-08,1.3406472376686907e-06,-3.840985129954788e-08,False,False,False
binary,alpha,beta,0.05,0.25,2,125,50,0.1,1.0,0.4887209202171188,0.1,35.25537889084589,1.2880067536968909,True,True,True,5.950809134754334,5.950884344834641,5.950884525957099,0.4434255715090962,0.4434277441441156,0.44342771973007206,2.1714908653965878e-05,3.409557335733986e-08,1.5142218074970515e-05,2.3285195993594243e-09,False,False,False
binary,alpha,beta,0.05,0.25,3,126,50,0.1,1.0,0.5509224119866063,1.4267675578183456,32.77408201513792,6.220439404986396e-07,True,True,True,1.9810330886796028,1.9811235893503725,1.9811224814331132,1.1762345497064655,1.176218476462219,1.1762186936086236,9.438257301083968e-06,6.985070786600461e-08,2.686828582909584e-05,-3.0923794014370287e-07,False,False,False
binary,alpha,beta,0.05,0.25,4,127,50,0.1,1.0,0.44861734314270885,0.1,35.403067183638115,2.465955542874134,False,False,False,-0.2309994330031511,-0.23105362991348266,-0.23105521016574426,inf,inf,inf,2.6944672482430037e-05,1.8351320934354606e-07,nan,nan,False,False,True
binary,alpha,beta,0.05,0.25,5,128,50,0.1,1.0,0.48551205531542274,0.1,35.258627118192166,1.210484704472555,True,True,True,3.719196409169649,3.719083195274178,3.7190814177870104,0.6299149788849735,0.6299374268277736,0.6299375770315607,2.2347538999750826e-05,1.687988792342167e-07,-4.901741199603293e-06,-3.050085339850739e-07,False,False,False
binary,alpha,beta,0.05,0.25,6,129,50,0.1,1.0,0.4749195298917155,0.16548513763390965,35.09272216763611,2.518169871261385e-07,True,True,True,4.364170026456194,4.364221959325887,4.364219307806103,0.6027344452799029,0.6027310583312183,0.602731286819332,5.6496079827339604e-06,1.6767068423960734e-07,7.655885795543327e-06,-3.4450194164037384e-07,False,False,False
binary,alpha,beta,0.05,0.25,7,130,50,0.1,1.0,0.46276018207853403,0.2892744217584532,35.00575371352276,5.5608765032738915e-08,True,True,True,3.287828395967223,3.2877613994690296,3.287761381194541,0.6992806971594805,0.6992821429072946,0.6992821471266774,2.097992318449645e-05,1.0148191282320077e-08,-1.871355695470811e-05,-7.005951374594588e-10,False,False,False
binary,alpha,beta,0.05,0.25,8,131,50,0.1,1.0,0.41561207522853183,0.35275613161043606,34.88356225413708,3.336525901964335e-07,True,True,True,3.850050915935635,3.850237254388458,3.8502375091605265,0.7965185619865982,0.7965031101851286,0.7965030862648234,1.9211291178326997e-05,1.9687972974696494e-08,3.064687422238421e-05,3.863121378344658e-08,False,False,False
binary,alpha,beta,0.05,0.25,9,132,50,0.1,1.0,0.5127870672975551,0.1,35.30561196798154,1.6992722109421332,True,True,True,4.301225723687703,4.301403485863884,4.301402435771441,0.5892295934697824,0.5892171285537555,0.589217186936505,2.5863170914568945e-05,1.2244185241111456e-07,2.679972909902517e-05,-1.7691226616989297e-07,False,False,False
binary,alpha,beta,0.05,0.25,10,133,50,0.1,1.0,0.5166539923786466,0.1,35.2091185047629,0.7484034725280274,True,True,True,4.552513169629569,4.552721219883458,4.552721197012191,0.5550896252420637,0.5550674785508036,0.555067467789325,1.3472391094104041e-05,3.296691919367406e-08,2.018431025874179e-05,-1.741325661441806e-08,False,False,False
binary,alpha,beta,0.05,0.25,11,134,50,0.1,1.0,0.4941508220589299,0.1,35.16218613197959,0.17447965206005753,True,True,True,2.5005133912743527,2.5006071383313833,2.50060622788641,0.8262510382159868,0.8262481978340966,0.8262483131867312,3.326634554716167e-05,1.1154195511677832e-07,3.3989025482128454e-05,-2.3128500714619804e-07,False,False,False
binary,alpha,beta,0.05,0.25,12,135,50,0.1,1.0,0.48956571681135064,0.1,35.34299848256904,2.1326490404760614,True,True,True,5.353480431724862,5.353595664298059,5.35359327796756,0.4880045735238877,0.48799814542637254,0.48799828775782034,1.0527802858059712e-05,1.7791784301908525e-07,1.3842064937819032e-05,-2.818784636815508e-07,False,False,False
binary,alpha,beta,0.05,0.25,13,136,50,0.1,1.0,0.46967131514528115,0.1,35.52742578762074,3.8252738399080504,True,True,True,1.955105693357303,1.9551797709241594,1.9551807024477452,0.9512709107667046,0.951256482094195,0.9512562842919108,6.376996909422462e-06,5.693205391089861e-08,2.1525659668952812e-05,2.4871043535767967e-07,False,False,False
