param1,-0.7,-0.3,-0.1,0.3,0.7
0.05,2.061906219097409e-06,1.4088271633738714e-06,2.0264823632487605e-06,1.47065754418918e-06,1.3883826994742776e-06
0.25,1.0726097698920967e-07,4.069531556183392e-07,2.385644748414961e-07,2.812586110678694e-07,1.0763884006337321e-07
0.5,4.8267079222341636e-08,8.045813970625204e-08,2.4825464350897164e-07,2.560715124388935e-07,4.732340386226497e-08
0.75,1.6398938029738022e-07,3.000168860012309e-07,2.6734199920497304e-07,2.9669693901723804e-07,1.8756391284568963e-07
0.95,1.6172783467993668e-06,1.6969290470569831e-06,9.804800527035695e-07,1.3286907787346536e-06,1.0328164954387375e-06
