model,param1_name,param2_name,param1,param2,replicate,seed,n_trials,sigma,prior_scale,theta_map_1,theta_map_2,objective_map,gradient_norm,original_pd,fd_pd,ad_pd,original_min_eig,fd_min_eig,ad_min_eig,original_log10_condition,fd_log10_condition,ad_log10_condition,original_ad_rel_error,fd_ad_rel_error,delta_loge_original_ad,delta_loge_fd_ad,original_numerical_failure,fd_numerical_failure,structural_laplace_failure
binary,alpha,beta,0.05,0.25,0,123,100,0.1,1.0,0.4153194802096912,0.6214687051937596,68.15412691606011,1.0845964142784047e-07,True,True,True,6.435663327055058,6.435760405854074,6.435760469666361,0.5349774869271491,0.5349745363862192,0.5349745336735631,9.189538906198158e-06,8.103673636074051e-08,1.1694248172489097e-05,6.7922059088232345e-09,False,False,False
binary,alpha,beta,0.05,0.25,1,124,100,0.1,1.0,0.5279339879558659,0.43399394971819255,68.94555059063545,7.105427357601002e-08,True,True,True,9.0871628446585,9.086784105091507,9.086783361811781,0.22350981194250272,0.22353122208509305,0.2235312364283249,4.888207599161895e-05,8.634471827268962e-08,-1.7095343167738974e-05,-6.528462392907386e-08,False,False,False
binary,alpha,beta,0.05,0.5,0,10123,100,0.1,1.0,0.5575898016301768,0.2357437660288539,69.54983596140421,3.553424150496195e-07,True,True,True,9.78103604567852,9.781669143249363,9.781664559897742,0.31753213032415617,0.3175051291605482,0.31750521377759616,2.8095084438658747e-05,3.2009081442208487e-07,3.326756643673434e-05,-3.71146526845223e-07,False,False,False
binary,alpha,beta,0.05,0.5,1,10124,100,0.1,1.0,0.5127008972495982,0.7419901748183968,68.32305307796577,3.705737529573212e-07,True,True,True,4.993913558342616,4.994035276305091,4.994035188057594,0.7172953388642583,0.7172783168206054,0.7172783236028464,1.549025350505518e-05,2.5961436905147448e-08,4.765750546198433e-06,-9.862233696367184e-09,False,False,False
binary,alpha,beta,0.05,1.0,0,20123,100,0.1,1.0,0.32016299381024466,0.4629712410826403,69.04195791886045,1.4545314843379417e-06,True,True,True,4.4226991510862526,4.422893035528256,4.42288854836581,0.7008140315408716,0.700798677260928,0.7007990157285369,1.3548045769725683e-05,3.0426880984436657e-07,2.5535402329524004e-05,-6.248563551025654e-07,False,False,False
binary,alpha,beta,0.05,1.0,1,20124,100,0.1,1.0,0.5206743925982064,0.7881466472206476,66.76094091299805,8.101433657963767e-08,True,True,True,8.71651398480505,8.716798718040287,8.716796831657497,0.4293135892053118,0.42929594161631013,0.42929602398144867,1.4214199517739928e-05,7.959160530552522e-08,1.222630028507865e-05,-1.2158140805240691e-07,False,False,False
binary,alpha,beta,0.05,3.0,0,30123,100,0.1,1.0,0.19061631585788683,1.9242913659529306,55.332132120805404,1.3787828925083227e-07,True,True,True,5.6143912900248365,5.614479247411937,5.614479416090653,0.9279235787194631,0.9278981300313682,0.9278981149068107,4.460079928806041e-05,3.311125172240353e-08,-1.3619961343636078e-05,1.2630735568563978e-08,False,False,False
binary,alpha,beta,0.05,3.0,1,30124,100,0.1,1.0,0.06889793283333871,2.2864027742192516,61.649006764586744,1.6431622273205927e-07,True,True,True,2.184203884870639,2.1845322523072745,2.184531852069612,2.2732143756617833,2.273355144929112,2.273354257277833,0.0004728998041433306,2.2285926356607393e-06,0.00031118750387548744,-1.2051606717022878e-06,False,False,False
binary,alpha,beta,0.05,8.0,0,40123,100,0.1,1.0,0.050533302854768,5.262547733702326,40.43214119230372,9.09173741245696e-06,True,True,True,1.3251080768919066,1.3252651351020515,1.3252654682388485,3.2221131967365095,3.2222401799415943,3.2222388505195556,0.00040801683981083993,2.8101595739574136e-06,0.00026343344446644323,-1.2791800116929153e-06,False,False,False
binary,alpha,beta,0.05,8.0,1,40124,100,0.1,1.0,0.17257593682702813,4.9796473138549,12.675142019350293,3.2164424557962725e-07,True,True,True,1.391198628332911,1.3912400738486015,1.3912400677938332,1.9382839037951631,1.938325615166515,1.9383255259144536,0.0001256418368840689,2.0985248582965967e-07,7.770566800857637e-05,-1.0710729902996263e-07,False,False,False
binary,alpha,beta,0.25,0.25,0,50123,100,0.1,1.0,0.44971152539298614,0.6077703024939184,67.70594855940922,3.7719045849334515e-07,True,True,True,10.398151794299228,10.398343747875014,10.398339375312267,0.441527906864524,0.44154114719729043,0.441541280650398,4.699857762959815e-05,1.7976928065368244e-07,3.343681905221274e-05,-2.6686221588079206e-07,False,False,False
